Date,Temperature,Humidity,Soil Moisture,Rainfall,Water Usage,Crop
2022-03-23,22,63,50,82,109,Corn
2022-03-24,17,44,71,120,55,Corn
2022-03-25,39,81,32,132,146,Corn
2022-03-26,24,58,57,89,182,Corn
2022-03-27,24,89,31,175,159,Corn
2022-03-28,38,47,64,35,197,Corn
2022-03-29,17,52,41,154,200,Corn
2022-03-30,35,72,61,171,187,Corn
2022-03-31,38,34,60,35,70,Corn
2022-04-01,34,76,65,108,168,Corn
2022-04-02,22,66,65,17,54,Corn
2022-04-03,23,78,66,98,148,Corn
2022-04-04,15,57,49,19,79,Corn
2022-04-05,30,58,30,154,81,Corn
2022-04-06,34,70,29,81,146,Corn
2022-04-07,20,75,59,44,165,Corn
2022-04-08,35,45,54,67,199,Corn
2022-04-09,38,78,48,146,127,Corn
2022-04-10,38,89,37,41,139,Corn
2022-04-11,18,74,74,167,138,Corn
2022-04-12,38,50,45,27,167,Corn
2022-04-13,20,87,70,83,165,Corn
2022-04-14,17,67,46,136,187,Corn
2022-04-15,35,52,39,197,188,Corn
2022-04-16,27,59,54,39,137,Corn
2022-04-17,32,47,31,176,123,Corn
2022-04-18,29,35,54,59,97,Corn
2022-04-19,36,50,75,57,72,Corn
2022-04-20,24,36,55,151,115,Corn
2022-04-21,35,55,51,120,199,Corn
2022-04-22,19,72,35,56,160,Corn
2022-04-23,32,59,43,59,171,Corn
2022-04-24,16,74,61,1,100,Corn
2022-04-25,16,87,52,156,65,Corn
2022-04-26,34,86,68,21,88,Corn
2022-04-27,27,90,62,136,71,Corn
2022-04-28,31,60,57,143,65,Corn
2022-04-29,16,37,72,106,64,Corn
2022-04-30,36,76,72,14,191,Corn
2022-05-01,29,84,64,51,167,Corn
2022-05-02,16,54,33,72,113,Corn
2022-05-03,18,88,24,170,71,Corn
2022-05-04,30,73,67,88,84,Corn
2022-05-05,31,58,38,188,91,Corn
2022-05-06,30,56,67,88,120,Corn
2022-05-07,34,32,74,137,140,Corn
2022-05-08,29,65,75,41,89,Corn
2022-05-09,24,49,48,94,67,Corn
2022-05-10,27,69,23,154,50,Corn
2022-05-11,24,88,24,37,175,Corn
2022-05-12,35,60,52,114,123,Corn
2022-05-13,31,69,37,122,166,Corn
2022-05-14,28,62,73,147,128,Corn
2022-05-15,40,76,44,12,124,Corn
2022-05-16,28,67,22,60,96,Corn
2022-05-17,16,63,47,34,187,Corn
2022-05-18,21,80,66,59,178,Corn
2022-05-19,36,33,29,15,97,Corn
2022-05-20,21,53,48,160,90,Corn
2022-05-21,38,43,58,124,75,Corn
2022-05-22,36,69,79,185,91,Corn
2022-05-23,25,85,72,52,108,Corn
2022-05-24,23,42,57,162,195,Corn
2022-05-25,17,83,36,93,132,Corn
2022-05-26,25,42,33,7,157,Corn
2022-05-27,39,67,22,5,50,Corn
2022-05-28,31,46,53,188,74,Corn
2022-05-29,39,35,69,114,82,Corn
2022-05-30,22,63,74,38,88,Corn
2022-05-31,18,59,20,181,114,Corn
2022-06-01,19,71,74,78,85,Corn
2022-06-02,40,77,56,11,132,Corn
2022-06-03,19,51,64,147,108,Paddy
2022-06-04,40,82,37,153,154,Paddy
2022-06-05,16,50,32,188,96,Paddy
2022-06-06,39,49,46,114,185,Paddy
2022-06-07,18,76,49,193,123,Paddy
2022-06-08,33,41,22,63,185,Corn
2022-06-09,39,41,53,29,188,Corn
2022-06-10,29,46,64,193,197,Paddy
2022-06-11,18,54,69,80,121,Corn
2022-06-12,15,56,37,50,76,Corn
2022-06-13,38,66,48,140,110,Paddy
2022-06-14,24,90,61,45,115,Corn
2022-06-15,36,69,67,148,134,Paddy
2022-06-16,35,49,51,119,110,Paddy
2022-06-17,39,82,30,119,118,Paddy
2022-06-18,35,31,80,149,52,Paddy
2022-06-19,21,83,47,13,155,Corn
2022-06-20,28,65,28,34,92,Corn
2022-06-21,25,39,64,143,84,Paddy
2022-06-22,29,36,48,2,79,Corn
2022-06-23,31,87,29,36,176,Corn
2022-06-24,31,86,38,156,166,Paddy
2022-06-25,18,83,79,125,156,Paddy
2022-06-26,34,71,66,113,155,Paddy
2022-06-27,36,76,76,138,165,Paddy
2022-06-28,32,64,75,61,135,Corn
2022-06-29,26,48,50,135,140,Paddy
2022-06-30,37,58,59,70,54,Corn
2022-07-01,22,56,37,8,146,Corn
2022-07-02,35,36,52,72,51,Corn
2022-07-03,19,88,30,49,65,Corn
2022-07-04,35,32,26,22,144,Corn
2022-07-05,39,32,49,4,132,Corn
2022-07-06,16,33,69,66,115,Corn
2022-07-07,20,49,65,21,160,Corn
2022-07-08,24,42,27,86,143,Corn
2022-07-09,17,77,52,11,138,Corn
2022-07-10,39,51,30,0,90,Corn
2022-07-11,36,47,24,179,124,Paddy
2022-07-12,21,85,53,157,60,Paddy
2022-07-13,23,53,31,95,165,Corn
2022-07-14,23,72,56,24,125,Corn
2022-07-15,31,35,26,57,142,Corn
2022-07-16,19,31,43,198,91,Paddy
2022-07-17,28,83,34,200,75,Paddy
2022-07-18,22,76,66,168,176,Paddy
2022-07-19,31,40,47,57,169,Corn
2022-07-20,35,42,51,66,107,Corn
2022-07-21,31,49,64,9,93,Corn
2022-07-22,40,53,79,147,147,Paddy
2022-07-23,16,34,62,58,127,Corn
2022-07-24,36,57,38,92,135,Corn
2022-07-25,31,42,29,43,128,Corn
2022-07-26,23,66,43,136,128,Paddy
2022-07-27,39,53,32,31,179,Corn
2022-07-28,35,55,42,4,124,Corn
2022-07-29,30,47,27,21,127,Corn
2022-07-30,19,57,31,106,192,Paddy
2022-07-31,18,75,72,143,89,Paddy
2022-08-01,31,73,28,135,59,Paddy
2022-08-02,25,72,45,30,148,Corn
2022-08-03,28,69,25,1,128,Corn
2022-08-04,38,42,34,152,191,Paddy
2022-08-05,32,39,66,58,121,Corn
2022-08-06,24,45,45,171,126,Paddy
2022-08-07,26,59,21,155,162,Paddy
2022-08-08,37,66,29,156,94,Paddy
2022-08-09,23,61,80,130,50,Paddy
2022-08-10,18,88,27,156,52,Paddy
2022-08-11,32,73,68,153,141,Paddy
2022-08-12,25,70,56,171,134,Paddy
2022-08-13,33,77,54,76,84,Corn
2022-08-14,39,73,35,187,99,Paddy
2022-08-15,15,63,64,162,173,Paddy
2022-08-16,36,35,20,123,119,Paddy
2022-08-17,28,50,55,192,114,Paddy
2022-08-18,22,47,23,130,185,Paddy
2022-08-19,25,67,56,110,138,Paddy
2022-08-20,38,45,67,80,157,Corn
2022-08-21,33,79,23,7,98,Corn
2022-08-22,20,81,46,137,124,Paddy
2022-08-23,27,79,73,99,160,Corn
2022-08-24,23,85,47,135,198,Paddy
2022-08-25,16,64,22,179,112,Paddy
2022-08-26,34,89,72,172,59,Paddy
2022-08-27,25,43,33,163,106,Paddy
2022-08-28,37,45,76,105,140,Paddy
2022-08-29,18,77,38,34,135,Corn
2022-08-30,31,39,74,27,131,Corn
2022-08-31,24,56,64,104,111,Paddy
2022-09-01,35,82,56,150,65,Paddy
2022-09-02,24,43,62,165,58,Paddy
2022-09-03,20,60,35,170,174,Paddy
2022-09-04,36,47,50,27,112,Corn
2022-09-05,39,77,29,142,50,Paddy
2022-09-06,39,59,54,9,177,Corn
2022-09-07,26,30,60,84,100,Corn
2022-09-08,16,42,39,109,199,Paddy
2022-09-09,24,41,74,178,192,Paddy
2022-09-10,15,76,43,140,67,Paddy
2022-09-11,20,44,40,99,53,Corn
2022-09-12,19,63,56,47,131,Corn
2022-09-13,18,35,35,129,98,Paddy
2022-09-14,19,53,35,173,58,Paddy
2022-09-15,39,58,30,130,187,Paddy
2022-09-16,21,87,26,37,175,Corn
2022-09-17,27,66,41,194,97,Paddy
2022-09-18,17,71,38,98,144,Corn
2022-09-19,37,46,23,18,142,Corn
2022-09-20,19,38,57,183,99,Paddy
2022-09-21,26,68,22,124,140,Paddy
2022-09-22,25,58,61,48,196,Corn
2022-09-23,22,74,72,126,155,Paddy
2022-09-24,37,31,38,23,170,Corn
2022-09-25,33,50,32,31,56,Corn
2022-09-26,36,58,77,171,78,Paddy
2022-09-27,26,54,30,105,88,Paddy
2022-09-28,15,46,37,186,56,Paddy
2022-09-29,26,62,41,147,61,Paddy
2022-09-30,34,66,78,22,161,Corn
2022-10-01,16,68,34,188,58,Wheat
2022-10-02,30,35,46,165,68,Corn
2022-10-03,26,31,59,57,94,Corn
2022-10-04,36,47,44,170,153,Corn
2022-10-05,17,35,33,17,76,Wheat
2022-10-06,16,63,62,161,71,Wheat
2022-10-07,38,60,53,80,165,Corn
2022-10-08,26,78,55,98,50,Corn
2022-10-09,22,63,20,83,54,Wheat
2022-10-10,35,33,70,85,178,Corn
2022-10-11,19,47,79,19,158,Wheat
2022-10-12,37,63,40,177,138,Corn
2022-10-13,15,62,76,8,131,Wheat
2022-10-14,17,53,33,68,73,Wheat
2022-10-15,25,41,66,82,199,Corn
2022-10-16,34,74,70,75,127,Corn
2022-10-17,32,69,42,45,127,Corn
2022-10-18,35,47,31,120,79,Corn
2022-10-19,19,88,24,96,153,Wheat
2022-10-20,16,76,45,94,158,Wheat
2022-10-21,26,87,45,179,101,Corn
2022-10-22,40,80,69,45,62,Corn
2022-10-23,38,59,58,55,68,Corn
2022-10-24,22,90,64,7,159,Wheat
2022-10-25,21,63,44,55,189,Wheat
2022-10-26,39,64,40,78,120,Corn
2022-10-27,39,42,47,139,112,Corn
2022-10-28,31,33,48,41,106,Corn
2022-10-29,27,46,55,74,60,Corn
2022-10-30,21,51,72,51,95,Wheat
2022-10-31,22,67,37,3,59,Wheat
2022-11-01,29,33,61,49,142,Corn
2022-11-02,33,67,62,105,184,Corn
2022-11-03,25,37,28,159,87,Corn
2022-11-04,34,52,43,151,92,Corn
2022-11-05,21,77,68,73,108,Wheat
2022-11-06,20,45,66,83,179,Wheat
2022-11-07,15,38,66,47,195,Wheat
2022-11-08,15,32,57,184,197,Wheat
2022-11-09,35,85,80,166,195,Corn
2022-11-10,22,74,36,70,95,Wheat
2022-11-11,22,85,52,151,168,Wheat
2022-11-12,16,89,43,183,73,Wheat
2022-11-13,23,61,42,29,106,Wheat
2022-11-14,20,36,64,29,92,Wheat
2022-11-15,22,89,48,87,56,Wheat
2022-11-16,17,42,24,22,55,Wheat
2022-11-17,18,58,35,188,181,Wheat
2022-11-18,37,40,58,172,86,Corn
2022-11-19,20,35,71,86,198,Wheat
2022-11-20,23,45,60,29,183,Wheat
2022-11-21,20,45,24,17,188,Wheat
2022-11-22,15,90,76,100,70,Wheat
2022-11-23,28,50,69,28,57,Corn
2022-11-24,31,71,36,40,84,Corn
2022-11-25,22,39,70,9,154,Wheat
2022-11-26,35,40,32,28,169,Corn
2022-11-27,17,74,49,96,131,Wheat
2022-11-28,36,87,48,84,121,Corn
2022-11-29,17,31,71,114,143,Wheat
2022-11-30,24,58,75,150,137,Wheat
2022-12-01,28,68,65,7,66,Corn
2022-12-02,36,56,45,187,177,Corn
2022-12-03,36,51,58,135,114,Corn
2022-12-04,29,39,66,154,178,Corn
2022-12-05,21,83,21,127,97,Wheat
2022-12-06,35,51,54,142,108,Corn
2022-12-07,29,47,40,177,196,Corn
2022-12-08,39,70,27,121,181,Corn
2022-12-09,22,58,26,113,72,Wheat
2022-12-10,38,85,38,178,116,Corn
2022-12-11,19,36,47,162,183,Wheat
2022-12-12,37,77,22,181,51,Corn
2022-12-13,38,78,71,114,184,Corn
2022-12-14,23,41,36,183,114,Wheat
2022-12-15,35,90,59,18,101,Corn
2022-12-16,36,40,45,15,108,Corn
2022-12-17,19,43,20,153,117,Wheat
2022-12-18,23,43,65,6,164,Wheat
2022-12-19,33,40,43,158,52,Corn
2022-12-20,21,40,43,178,180,Wheat
2022-12-21,29,33,29,140,105,Corn
2022-12-22,17,35,75,12,145,Wheat
2022-12-23,23,56,72,178,188,Wheat
2022-12-24,23,73,32,102,54,Wheat
2022-12-25,27,31,23,177,109,Corn
2022-12-26,29,57,22,113,52,Corn
2022-12-27,35,61,34,42,150,Corn
2022-12-28,29,67,30,93,188,Corn
2022-12-29,31,59,30,185,96,Corn
2022-12-30,36,51,43,22,91,Corn
2022-12-31,22,73,41,140,52,Wheat
2023-01-01,20,37,58,93,166,Wheat
2023-01-02,17,52,71,84,154,Wheat
2023-01-03,34,62,61,106,88,Corn
2023-01-04,18,44,47,36,84,Wheat
2023-01-05,36,63,21,144,83,Corn
2023-01-06,26,57,44,30,60,Corn
2023-01-07,39,40,74,139,179,Corn
2023-01-08,21,80,41,122,107,Wheat
2023-01-09,16,85,71,44,176,Wheat
2023-01-10,35,76,77,157,139,Corn
2023-01-11,40,83,68,76,150,Corn
2023-01-12,17,56,23,195,186,Wheat
2023-01-13,30,66,38,119,187,Corn
2023-01-14,25,75,28,102,52,Corn
2023-01-15,19,53,32,159,103,Wheat
2023-01-16,40,37,69,68,107,Corn
2023-01-17,16,45,42,191,74,Wheat
2023-01-18,17,68,58,21,119,Wheat
2023-01-19,21,75,49,172,94,Wheat
2023-01-20,20,70,65,193,197,Wheat
2023-01-21,15,87,31,29,136,Wheat
2023-01-22,37,82,68,68,172,Corn
2023-01-23,38,48,24,89,91,Corn
2023-01-24,17,69,75,93,68,Wheat
2023-01-25,18,42,20,99,64,Wheat
2023-01-26,27,41,76,114,144,Corn
2023-01-27,17,62,23,12,122,Wheat
2023-01-28,31,61,80,115,118,Corn
2023-01-29,21,66,77,152,171,Wheat
2023-01-30,29,61,64,11,83,Corn
2023-01-31,34,65,72,70,103,Corn
2023-02-01,34,38,27,192,154,Corn
2023-02-02,34,39,54,19,68,Corn
2023-02-03,23,80,56,2,125,Corn
2023-02-04,40,88,40,142,113,Corn
2023-02-05,40,38,70,16,94,Corn
2023-02-06,36,41,66,123,80,Corn
2023-02-07,22,50,27,176,91,Corn
2023-02-08,20,58,43,73,191,Corn
2023-02-09,39,85,38,186,169,Corn
2023-02-10,20,33,36,71,105,Corn
2023-02-11,25,75,56,8,119,Corn
2023-02-12,29,39,63,167,176,Corn
2023-02-13,28,38,37,173,196,Corn
2023-02-14,34,81,47,66,107,Corn
2023-02-15,33,86,33,193,122,Corn
2023-02-16,31,80,46,131,50,Corn
2023-02-17,15,89,64,122,70,Corn
2023-02-18,40,64,44,103,151,Corn
2023-02-19,26,36,32,64,148,Corn
2023-02-20,20,39,23,195,75,Corn
2023-02-21,19,63,46,21,68,Corn
2023-02-22,26,39,26,12,147,Corn
2023-02-23,21,44,62,124,194,Corn
2023-02-24,24,35,50,135,164,Corn
2023-02-25,21,39,70,76,74,Corn
2023-02-26,24,51,46,50,57,Corn
2023-02-27,32,53,80,125,195,Corn
2023-02-28,40,82,21,78,149,Corn
2023-03-01,38,38,69,148,183,Corn
2023-03-02,32,36,72,52,175,Corn
2023-03-03,21,64,60,175,68,Corn
2023-03-04,35,62,72,55,155,Corn
2023-03-05,21,74,75,35,84,Corn
2023-03-06,32,86,55,71,167,Corn
2023-03-07,15,33,69,24,111,Corn
2023-03-08,22,56,41,79,68,Corn
2023-03-09,26,54,72,62,111,Corn
2023-03-10,33,86,27,37,163,Corn
2023-03-11,32,78,78,170,144,Corn
2023-03-12,37,30,20,138,74,Corn
2023-03-13,27,70,54,42,149,Corn
2023-03-14,27,31,74,97,145,Corn
2023-03-15,17,87,69,174,120,Corn
2023-03-16,28,66,68,72,194,Corn
2023-03-17,36,73,61,110,188,Corn
2023-03-18,27,41,77,119,51,Corn
2023-03-19,16,88,36,100,82,Corn
2023-03-20,25,31,52,12,121,Corn
2023-03-21,40,31,71,65,153,Corn
2023-03-22,26,44,49,182,160,Corn
2023-03-23,25,48,76,15,190,Corn
2023-03-24,24,35,66,145,56,Corn
2023-03-25,15,82,80,163,62,Corn
2023-03-26,20,85,45,54,125,Corn
2023-03-27,19,31,24,59,72,Corn
2023-03-28,35,33,73,59,195,Corn
2023-03-29,35,73,55,72,112,Corn
2023-03-30,21,40,62,166,112,Corn
2023-03-31,28,52,78,45,113,Corn
2023-04-01,35,62,72,167,55,Corn
2023-04-02,31,56,67,132,155,Corn
2023-04-03,37,41,62,123,92,Corn
2023-04-04,39,54,55,167,125,Corn
2023-04-05,35,58,64,47,132,Corn
2023-04-06,29,86,36,94,67,Corn
2023-04-07,15,37,71,89,102,Corn
2023-04-08,23,50,52,148,168,Corn
2023-04-09,25,32,33,187,146,Corn
2023-04-10,17,59,31,7,122,Corn
2023-04-11,30,42,30,149,148,Corn
2023-04-12,23,70,65,189,60,Corn
2023-04-13,33,37,47,14,174,Corn
2023-04-14,33,33,75,153,183,Corn
2023-04-15,22,63,69,34,136,Corn
2023-04-16,16,77,64,110,109,Corn
2023-04-17,36,48,26,141,106,Corn
2023-04-18,37,45,34,196,169,Corn
2023-04-19,40,51,79,64,137,Corn
2023-04-20,32,86,73,133,136,Corn
2023-04-21,38,87,22,79,70,Corn
2023-04-22,30,64,42,166,100,Corn
2023-04-23,15,60,33,7,85,Corn
2023-04-24,28,44,48,189,80,Corn
2023-04-25,21,53,80,143,74,Corn
2023-04-26,15,39,42,89,161,Corn
2023-04-27,30,39,52,11,158,Corn
2023-04-28,18,73,41,200,92,Corn
2023-04-29,35,33,48,112,111,Corn
2023-04-30,35,33,60,57,139,Corn
2023-05-01,26,37,72,118,92,Corn
2023-05-02,34,66,33,110,192,Corn
2023-05-03,15,67,61,68,55,Corn
2023-05-04,17,82,47,101,120,Corn
2023-05-05,23,36,41,31,119,Corn
2023-05-06,16,79,66,45,58,Corn
2023-05-07,38,43,78,1,191,Corn
2023-05-08,39,83,31,93,184,Corn
2023-05-09,37,41,75,88,197,Corn
2023-05-10,31,37,44,169,79,Corn
2023-05-11,26,39,67,11,115,Corn
2023-05-12,23,72,69,6,138,Corn
2023-05-13,22,55,39,133,66,Corn
2023-05-14,38,38,32,150,116,Corn
2023-05-15,22,65,69,49,68,Corn
2023-05-16,39,64,77,119,169,Corn
2023-05-17,21,53,49,181,192,Corn
2023-05-18,19,59,62,9,199,Corn
2023-05-19,22,44,36,49,84,Corn
2023-05-20,28,82,63,133,79,Corn
2023-05-21,24,48,65,95,197,Corn
2023-05-22,15,50,51,155,109,Corn
2023-05-23,32,45,41,86,185,Corn
2023-05-24,24,31,36,66,88,Corn
2023-05-25,21,46,23,128,112,Corn
2023-05-26,23,56,51,115,185,Corn
2023-05-27,15,81,32,78,126,Corn
2023-05-28,33,65,65,7,200,Corn
2023-05-29,38,82,28,99,59,Corn
2023-05-30,36,54,64,86,194,Corn
2023-05-31,19,76,24,115,99,Corn
2023-06-01,32,40,72,173,159,Paddy
2023-06-02,33,42,40,180,110,Paddy
2023-06-03,15,32,60,6,169,Corn
2023-06-04,16,86,46,100,50,Corn
2023-06-05,16,73,71,153,65,Paddy
2023-06-06,35,85,25,137,83,Paddy
2023-06-07,18,58,28,35,132,Corn
2023-06-08,26,34,31,36,157,Corn
2023-06-09,29,76,25,49,109,Corn
2023-06-10,30,51,73,44,135,Corn
2023-06-11,24,79,52,199,85,Paddy
2023-06-12,37,58,28,30,197,Corn
2023-06-13,23,71,33,94,156,Corn
2023-06-14,26,31,46,94,75,Corn
2023-06-15,19,77,30,37,112,Corn
2023-06-16,29,34,72,120,164,Paddy
2023-06-17,39,63,67,143,151,Paddy
2023-06-18,26,47,73,155,157,Paddy
2023-06-19,30,79,74,96,133,Corn
2023-06-20,38,81,69,66,127,Corn
2023-06-21,17,53,48,192,165,Paddy
2023-06-22,38,38,78,119,74,Paddy
2023-06-23,27,40,68,58,64,Corn
2023-06-24,29,54,52,40,122,Corn
2023-06-25,40,66,75,121,153,Paddy
2023-06-26,27,85,76,40,138,Corn
2023-06-27,19,82,71,190,88,Paddy
2023-06-28,35,80,21,105,150,Paddy
2023-06-29,21,63,40,159,157,Paddy
2023-06-30,18,75,44,106,112,Paddy
2023-07-01,16,78,54,183,65,Paddy
2023-07-02,21,87,49,57,179,Corn
2023-07-03,37,71,52,113,133,Paddy
2023-07-04,28,42,39,92,117,Corn
2023-07-05,37,77,43,160,151,Paddy
2023-07-06,38,79,37,56,101,Corn
2023-07-07,25,49,61,38,141,Corn
2023-07-08,16,62,26,79,191,Corn
2023-07-09,25,34,54,72,64,Corn
2023-07-10,34,65,63,114,63,Paddy
2023-07-11,16,76,68,151,113,Paddy
2023-07-12,15,72,35,65,123,Corn
2023-07-13,37,87,23,108,140,Paddy
2023-07-14,22,73,77,124,109,Paddy
2023-07-15,39,88,62,76,95,Corn
2023-07-16,28,80,69,25,53,Corn
2023-07-17,35,62,74,43,156,Corn
2023-07-18,27,54,40,85,96,Corn
2023-07-19,37,44,75,135,104,Paddy
2023-07-20,25,86,36,151,119,Paddy
2023-07-21,36,89,64,155,127,Paddy
2023-07-22,33,30,64,124,129,Paddy
2023-07-23,33,34,56,124,156,Paddy
2023-07-24,30,50,64,77,105,Corn
2023-07-25,37,49,31,129,158,Paddy
2023-07-26,40,57,24,104,90,Paddy
2023-07-27,35,53,49,9,164,Corn
2023-07-28,35,45,67,156,95,Paddy
2023-07-29,33,43,55,10,59,Corn
2023-07-30,24,31,63,40,183,Corn
2023-07-31,16,39,37,3,108,Corn
2023-08-01,28,73,34,161,153,Paddy
2023-08-02,24,38,45,5,110,Corn
2023-08-03,36,66,78,191,140,Paddy
2023-08-04,26,84,41,35,97,Corn
2023-08-05,16,66,66,152,76,Paddy
2023-08-06,34,41,64,72,143,Corn
2023-08-07,29,66,69,185,167,Paddy
2023-08-08,36,68,58,185,104,Paddy
2023-08-09,19,61,73,25,91,Corn
2023-08-10,36,37,23,50,67,Corn
2023-08-11,26,80,33,169,125,Paddy
2023-08-12,23,64,65,28,93,Corn
2023-08-13,32,43,52,24,55,Corn
2023-08-14,24,80,53,182,103,Paddy
2023-08-15,33,39,36,184,57,Paddy
2023-08-16,32,33,74,179,116,Paddy
2023-08-17,29,72,51,19,175,Corn
2023-08-18,27,38,34,177,181,Paddy
2023-08-19,17,86,79,63,52,Corn
2023-08-20,36,67,72,111,162,Paddy
2023-08-21,25,31,60,123,74,Paddy
2023-08-22,19,46,64,92,91,Corn
2023-08-23,33,47,47,55,158,Corn
2023-08-24,23,50,49,21,103,Corn
2023-08-25,35,39,80,118,182,Paddy
2023-08-26,20,56,46,22,83,Corn
2023-08-27,31,78,27,28,62,Corn
2023-08-28,28,43,75,47,93,Corn
2023-08-29,34,75,48,56,110,Corn
2023-08-30,40,42,27,6,108,Corn
2023-08-31,35,69,80,118,143,Paddy
2023-09-01,40,74,28,40,174,Corn
2023-09-02,39,48,77,107,73,Paddy
2023-09-03,28,83,43,186,50,Paddy
2023-09-04,36,61,77,190,61,Paddy
2023-09-05,38,83,58,172,81,Paddy
2023-09-06,28,39,49,192,143,Paddy
2023-09-07,37,42,21,73,160,Corn
2023-09-08,34,54,39,51,55,Corn
2023-09-09,39,31,54,172,110,Paddy
2023-09-10,28,43,44,71,145,Corn
2023-09-11,36,89,32,137,100,Paddy
2023-09-12,16,34,23,59,60,Corn
2023-09-13,15,56,52,178,75,Paddy
2023-09-14,39,35,49,69,71,Corn
2023-09-15,38,58,38,70,82,Corn
2023-09-16,29,71,41,184,96,Paddy
2023-09-17,38,33,59,129,115,Paddy
2023-09-18,16,60,55,158,188,Paddy
2023-09-19,33,85,80,94,180,Corn
2023-09-20,37,64,46,191,111,Paddy
2023-09-21,37,67,24,40,80,Corn
2023-09-22,38,67,44,99,102,Corn
2023-09-23,40,69,28,186,92,Paddy
2023-09-24,40,61,21,52,174,Corn
2023-09-25,31,53,38,183,62,Paddy
2023-09-26,34,64,21,35,140,Corn
2023-09-27,40,51,52,45,185,Corn
2023-09-28,35,74,27,160,89,Paddy
2023-09-29,27,64,61,114,190,Paddy
2023-09-30,37,81,49,65,83,Corn
2023-10-01,22,56,36,91,110,Wheat
2023-10-02,27,80,23,70,137,Corn
2023-10-03,29,80,49,146,180,Corn
2023-10-04,18,81,40,53,137,Wheat
2023-10-05,37,45,55,56,192,Corn
2023-10-06,39,31,62,26,152,Corn
2023-10-07,27,58,65,105,53,Corn
2023-10-08,21,82,59,80,159,Wheat
2023-10-09,17,73,26,149,148,Wheat
2023-10-10,36,39,43,59,53,Corn
2023-10-11,16,62,31,64,150,Wheat
2023-10-12,21,39,63,135,84,Wheat
2023-10-13,26,87,49,191,129,Corn
2023-10-14,23,65,43,160,133,Wheat
2023-10-15,28,34,34,85,195,Corn
